LocationID,X,Y,zone,borough
1,-74.1767857452143,40.6895156480431,Newark Airport,EWR
2,-73.8261257703202,40.6257242377511,Jamaica Bay,Queens
3,-73.8494789238597,40.8658875419774,Allerton/Pelham Gardens,Bronx
4,-73.9770229219339,40.7241521436714,Alphabet City,Manhattan
5,-74.1899296712375,40.550340123832,Arden Heights,Staten Island
6,-74.0677744607421,40.5990621740821,Arrochar/Fort Wadsworth,Staten Island
7,-73.9214905669465,40.761084729151,Astoria,Queens
8,-73.9232024092836,40.7786069617704,Astoria Park,Queens
9,-73.7880202487407,40.7544109271114,Auburndale,Queens
10,-73.7916654578906,40.6781247031195,Baisley Park,Queens
11,-74.0106156305362,40.6039777088098,Bath Beach,Brooklyn
12,-74.0154903292143,40.7024884135418,Battery Park,Manhattan
13,-74.0161196692833,40.7116120831165,Battery Park City,Manhattan
14,-74.0304470508297,40.6235842793089,Bay Ridge,Brooklyn
15,-73.7879710847436,40.7852195006457,Bay Terrace/Fort Totten,Queens
16,-73.7716678221165,40.7612088345005,Bayside,Queens
17,-73.9491813010382,40.6919940962748,Bedford,Brooklyn
18,-73.8869219948557,40.8687628819908,Bedford Park,Bronx
19,-73.7278693961567,40.7364724391387,Bellerose,Queens
20,-73.8860348405346,40.8577731142544,Belmont,Bronx
21,-73.9813007259727,40.6020489840097,Bensonhurst East,Brooklyn
22,-73.9942970150052,40.6096273400171,Bensonhurst West,Brooklyn
23,-74.1594432875648,40.607504219542,Bloomfield/Emerson Hill,Staten Island
24,-73.9655685290937,40.8020327729942,Bloomingdale,Manhattan
25,-73.9864589876713,40.685614589464,Boerum Hill,Brooklyn
26,-73.9895604065528,40.6286122405859,Borough Park,Brooklyn
27,-73.9097811978144,40.5589500919216,Breezy Point/Fort Tilden/Riis Beach,Queens
28,-73.80732908405,40.710852781755,Briarwood/Jamaica Hills,Queens
29,-73.9605798481175,40.582195546571,Brighton Beach,Brooklyn
30,-73.8200975464803,40.6048721837899,Broad Channel,Queens
31,-73.875722045295,40.85992052114,Bronx Park,Bronx
32,-73.8646241408313,40.8644517064252,Bronxdale,Bronx
33,-73.995328797204,40.6962383270628,Brooklyn Heights,Brooklyn
34,-73.9676989686791,40.7025590381029,Brooklyn Navy Yard,Brooklyn
35,-73.9124814882782,40.6638098226151,Brownsville,Brooklyn
36,-73.9165639802734,40.6990847380764,Bushwick North,Brooklyn
37,-73.9259483634522,40.6962674524983,Bushwick South,Brooklyn
38,-73.7355495585459,40.6932955704325,Cambria Heights,Queens
39,-73.899773871952,40.6388789299243,Canarsie,Brooklyn
40,-73.9958180819094,40.6785042230919,Carroll Gardens,Brooklyn
41,-73.9520653308923,40.8042048286288,Central Harlem,Manhattan
42,-73.9395164693167,40.8210462140976,Central Harlem North,Manhattan
43,-73.9655721799594,40.7824597386361,Central Park,Manhattan
44,-74.2295465457844,40.527298175003,Charleston/Tottenville,Staten Island
45,-73.9982526213797,40.7130578275841,Chinatown,Manhattan
46,-73.7864863118305,40.8474998984855,City Island,Bronx
47,-73.8969291492323,40.8457549453718,Claremont/Bathgate,Bronx
48,-73.9898566508315,40.7622367556144,Clinton East,Manhattan
